Ti,Nb,Al,Zr,Mo,Sn,Cr,stratify,Mo_Equiavalent,Mo_Equiavalent2,Atomic_Number,e/a,Average_Atom_Radius,Delta,Electronegativity,Bo,Md,Cold_Rolling_Rate,Root_Cold_Rolling_Rate,Homonization_Temperature,Homonization_Time,Solution_Treatment_Temperature,Solution_Treatment_Time,Beta_phase,"alpha""_phase",Elongation,UTS,References
80,20,0,0,0,0,0,a,0.127414391,0.091476999,25.8,4.2,1.804,0.487804878,1.552,2.8518,2.4424,95,9.746794345,nd,nd,1173,1800,0,1,40,520,"Kim, Hee Young, et al. 2004. Materials Transactions 45.7: 2443-2448."
78,22,0,0,0,0,0,a,0.137970658,0.099055857,26.18,4.22,1.8084,0.503949274,1.5532,2.85798,2.44194,95,9.746794345,nd,nd,1173,1800,0,1,33,560,
76,24,0,0,0,0,0,a,0.148202813,0.106402019,26.56,4.24,1.8128,0.51830477,1.5544,2.86416,2.44148,95,9.746794345,nd,nd,1173,1800,1,1,24,455,
74,26,0,0,0,0,0,a,0.158125556,0.11352604,26.94,4.26,1.8172,0.531034194,1.5556,2.87034,2.44102,95,9.746794345,nd,nd,1173,1800,1,1,17,425,
72,28,0,0,0,0,0,a,0.167752714,0.120437846,27.32,4.28,1.8216,0.542269186,1.5568,2.87652,2.44056,95,9.746794345,nd,nd,1173,1800,1,0,10,525,
75,11,14,0,0,0,0,b,0.004175128,-0.053934535,22.83,3.97,1.703,1.302086609,1.5564,2.77303,2.40989,93.72826087,9.681335697,1273,7200,1273,1800,0,1,6,770.5,Hosoda-Tahara-lab(Titech)
74,12,14,0,0,0,0,b,0.01133441,-0.048285246,23.02,3.98,1.7052,1.310023621,1.557,2.77612,2.40966,93.72826087,9.681335697,1273,7200,1273,1800,0,1,8.6,598.7,
73,12,15,0,0,0,0,b,0.006000361,-0.056396843,22.93,3.97,1.6994,1.349519792,1.5577,2.77248,2.40719,93.72826087,9.681335697,1273,7200,1273,1800,1,1,3.9,677.6,
72,12,16,0,0,0,0,b,0.000621687,-0.064576302,22.84,3.96,1.6936,1.387552136,1.5584,2.76884,2.40472,93.72826087,9.681335697,1273,7200,1273,1800,1,1,3.7,639.4,
73,13,14,0,0,0,0,b,0.01836674,-0.042736134,23.21,3.99,1.7074,1.317744198,1.5576,2.77921,2.40943,93.72826087,9.681335697,1273,7200,1273,1800,1,1,7.5,682.9,
